s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000,-1.1499327E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1499327E-003, 0.0000000E+000
 2.4184199E-001, 0.0000000E+000,-1.1499010E-003, 4.0750893E-004, 3.0670888E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4238905E-004, 0.0000000E+000
 4.8368397E-001, 0.0000000E+000,-1.1498378E-003, 4.0734149E-004,-2.1570645E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4271204E-004, 0.0000000E+000
 7.2552598E-001, 0.0000000E+000,-6.0290825E-004, 2.1348896E-004,-2.0824738E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8962754E-004, 0.0000000E+000
 9.6736795E-001, 0.0000000E+000,-6.0287513E-004, 2.1361807E-004,-5.0143338E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8975850E-004, 0.0000000E+000
 1.2092099E+000, 0.0000000E+000,-6.0284199E-004, 2.1371241E-004,-4.9634409E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8962592E-004, 0.0000000E+000
