s,AgentsInside,AgentsInsideMesh,ExitCounter,ExitCounter,TargetExitCounter,TargetExitCounter,Agents,FED_Index,FED_Index
EVAC_Time,AllAgents,evacmesh,exit 1,exit 2,exit 1,exit 2,Number_of_Deads,FED_max,FED_max_alive
 0.00000E+000,       2,       2,       0,       0,       1,       1,       0, 0.00000E+000, 0.00000E+000
