s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 0.0000000E+000, 0.0000000E+000,-1.1503196E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1503196E-003, 0.0000000E+000
 2.4184199E-001, 0.0000000E+000,-1.1502880E-003, 4.0691330E-004, 3.5280903E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4337118E-004, 0.0000000E+000
 4.8368397E-001, 0.0000000E+000,-1.1502249E-003, 4.0680876E-004,-2.1443509E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4363055E-004, 0.0000000E+000
 7.2552598E-001, 0.0000000E+000,-6.0309367E-004, 2.1320617E-004,-2.0671453E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9009421E-004, 0.0000000E+000
 9.6736795E-001, 0.0000000E+000,-6.0306059E-004, 2.1330975E-004,-4.9713557E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9024797E-004, 0.0000000E+000
 1.2092099E+000, 0.0000000E+000,-6.0302749E-004, 2.1341521E-004,-4.9179983E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9010408E-004, 0.0000000E+000
